experience_level,experience_level_label,count,median_usd,mean_usd,p25_usd,p75_usd
EN,Entry-level,7975,85469.0,98017.08025078369,60000.0,123780.0
MI,Mid-level,23395,122000.0,136267.00995939304,85700.0,170000.0
SE,Senior-level,37702,156160.0,167807.9580393613,115122.0,207300.0
EX,Executive-level,2841,190000.0,202080.46920098556,144400.0,250000.0
