education_required,occupation_count,mean_llm_human_exposure,mean_projected_growth_pct,median_wage_usd
Bachelor's degree,104,0.4688846153846154,4.509615384615385,82580.0
Master's degree,22,0.46340909090909094,6.454545454545454,81015.0
Doctoral or professional degree,12,0.35358333333333336,6.833333333333333,130170.0
Associate's degree,24,0.31625,3.0416666666666665,65210.0
High school diploma or equivalent,60,0.2586333333333333,2.4833333333333334,51105.0
"Some college, no degree",3,0.25633333333333336,-2.3333333333333335,48526.0
See How to Become One,14,0.2297857142857143,5.5,58575.0
Postsecondary nondegree award,17,0.17882352941176471,8.058823529411764,49670.0
No formal educational credential,15,0.11866666666666667,1.4,48660.0
