ai_exposure_level,occupation_count,employment_2024_sum,median_wage_usd,mean_growth_pct,median_growth_pct,mean_llm_human_exposure,employment_share_of_this_dataset_pct
High,90,22567800.0,79970.0,3.7777777777777777,4.0,0.5567111111111112,27.670215387708915
Low,91,30552300.0,55440.0,5.065934065934066,4.0,0.12953846153846155,37.4599527463864
Medium,90,28439800.0,69815.0,3.8,4.0,0.36915555555555557,34.86983186590469
